Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:39:57 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.4,              1,       1e-08,       1e-08,    4,         3,        0.4,        0
   1,      0.6,              1,       1e-08,       1e-08,    2,         0,        0.6,        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     33,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     34,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  27.62210978,  27.62210978,24433.27714677,   0.00781865,   2.00000000, 185.00000000,   0.00072406
     35,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  65.34444449,  65.34444449,12429.82997768,   0.00397755,   1.00000000, 215.00000000,   0.00015304
     36,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  69.24285720,  69.24285720,9937.49630301,   0.00318000,   1.00000000, 266.00000000,   0.00014442
     37,                  0,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     38,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  28.16192174,  28.16192174,24170.50353282,   0.00773456,   2.00000000, 185.00000000,   0.00071018
     39,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  68.17619057,  68.17619057,11268.31100538,   0.00360586,   1.00000000, 234.00000000,   0.00014668
     40,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  46.20000003,  46.20000003,9642.94324056,   0.00308574,   1.00000000, 238.00000000,   0.00021645
     41,                  0,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     42,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  27.38346322,  27.38346322,24629.83248626,   0.00788155,   2.00000000, 198.00000000,   0.00073037
     43,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  40.03333338,  40.03333338,11911.85229303,   0.00381179,   1.00000000, 144.00000000,   0.00024979
     44,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  61.29444449,  61.29444449,11052.63157895,   0.00353684,   1.00000000, 220.00000000,   0.00016315
     45,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  27.55199651,  27.55199651,22763.37179408,   0.00728428,   2.00000000, 200.00000000,   0.00072590
     46,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  61.77738100,  61.77738100,12537.43818346,   0.00401198,   1.00000000, 227.00000000,   0.00016187
