Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:59:12 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.31;              1;       1e-08;       1e-08;    4;         3;       0.31;        0
   1;     0.69;              1;       1e-08;       1e-08;    2;         0;       0.69;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0.037;          0.012            ;1            ;0;   8.90555077;   8.90555077;1787135.09341411;   0.02859416;  35.00000000; 915.80000000;   0.00786027
      2;                  1;0.04600000;     0.01200000            ;1.00000000            ;0.00000000;   8.01848463;   8.01848463;1978589.94207291;   0.03165744;  39.00000000; 916.43589744;   0.00972752
      3;                  1;0.03600000;     0.01100000            ;1.00000000            ;0.00000000;   9.45417408;   9.45417408;1616287.26730231;   0.02586060;  32.00000000; 926.75000000;   0.00676950
      4;                  1;0.03600000;     0.01100000            ;1.00000000            ;0.00000000;   8.61139623;   8.61139623;1822688.88187758;   0.02916302;  36.00000000; 930.08333333;   0.00836101
      5;                  1;0.05200000;     0.01100000            ;1.00000000            ;0.00000000;   8.09535986;   8.09535986;1930598.58361391;   0.03088958;  38.00000000; 921.60526316;   0.00938809
      6;                  1;0.02800000;     0.01500000            ;1.00000000            ;0.00000000;  10.41092624;  10.41092624;1510667.89859789;   0.02417069;  30.00000000; 952.13333333;   0.00576318
      7;                  1;0.03300000;     0.02500000            ;1.00000000            ;0.00000000;   8.72118489;   8.72118489;1839034.54646835;   0.02942455;  36.00000000; 932.83333333;   0.00825576
      8;                  1;0.03500000;     0.02600000            ;1.00000000            ;0.00000000;   8.19509728;   8.19509728;1745773.35021929;   0.02793237;  35.00000000; 891.20000000;   0.00854169
      9;                  1;0.03200000;     0.01000000            ;1.00000000            ;0.00000000;   9.69647538;   9.69647538;1563944.11961799;   0.02502311;  31.00000000; 920.35483871;   0.00639408
     10;                  1;0.03000000;     0.01200000            ;1.00000000            ;0.00000000;   8.88267569;   8.88267569;1772129.50443477;   0.02835407;  35.00000000; 918.97142857;   0.00788051
