Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:00:15 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,     0.26,              1,       1e-08,       1e-08,    4,         3,       0.26,        0
   1,     0.74,              1,       1e-08,       1e-08,    2,         0,       0.74,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     33,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.91373833,   5.91373833,2773896.42981155,   0.04438234,  55.00000000, 851.30909091,   0.01860076
     34,                  1,0.03700000,     0.00900000            ,1.00000000            ,0.00000000,   4.92618665,   4.92618665,3359472.28433505,   0.05375156,  67.00000000, 825.17910448,   0.02720157
     35,                  1,0.03600000,     0.01100000            ,1.00000000            ,0.00000000,   4.97531028,   4.97531028,3508604.45215754,   0.05613767,  69.00000000, 840.81159420,   0.02773696
     36,                  1,0.03400000,     0.00800000            ,1.00000000            ,0.00000000,   5.18481840,   5.18481840,3231235.82719084,   0.05169977,  64.00000000, 833.03125000,   0.02468746
     37,                  1,0.03500000,     0.00800000            ,1.00000000            ,0.00000000,   5.11740177,   5.11740177,3284058.64197429,   0.05254494,  65.00000000, 832.80000000,   0.02540352
     38,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.70592622,   5.70592622,2871728.63872598,   0.04594766,  57.00000000, 847.19298246,   0.01997923
     39,                  1,0.03500000,     0.00800000            ,1.00000000            ,0.00000000,   5.14089021,   5.14089021,3168043.80350693,   0.05068870,  63.00000000, 823.31746032,   0.02450937
     40,                  1,0.03500000,     0.01000000            ,1.00000000            ,0.00000000,   5.14933746,   5.14933746,3218716.06613384,   0.05149946,  64.00000000, 829.79687500,   0.02485757
     41,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   4.95153745,   4.95153745,3377519.32151254,   0.05404031,  67.00000000, 832.17910448,   0.02706230
     42,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.61656853,   5.61656853,2919182.98108179,   0.04670693,  58.00000000, 834.44827586,   0.02065318
     43,                  1,0.03200000,     0.00900000            ,1.00000000            ,0.00000000,   5.52053187,   5.52053187,3079622.54974855,   0.04927396,  61.00000000, 840.77049180,   0.02209932
     44,                  1,0.03700000,     0.00900000            ,1.00000000            ,0.00000000,   5.01435092,   5.01435092,3332182.57312841,   0.05331492,  66.00000000, 835.81818182,   0.02632444
     45,                  1,0.03400000,     0.01000000            ,1.00000000            ,0.00000000,   5.29819048,   5.29819048,3239943.55015558,   0.05183910,  64.00000000, 844.12500000,   0.02415919
     46,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   5.12170909,   5.12170909,3159837.40167787,   0.05055740,  63.00000000, 827.87301587,   0.02460116
     47,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.31458819,   5.31458819,3123912.81701681,   0.04998260,  62.00000000, 836.51612903,   0.02333201
     48,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   4.93198137,   4.93198137,3368206.47729698,   0.05389130,  67.00000000, 821.32835821,   0.02716961
     49,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.20521399,   5.20521399,3116158.31156610,   0.04985853,  62.00000000, 823.69354839,   0.02382227
     50,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   4.74437893,   4.74437893,3461825.09689720,   0.05538920,  69.00000000, 813.95652174,   0.02908705
     51,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.73831385,   5.73831385,3043613.07049366,   0.04869781,  60.00000000, 849.33333333,   0.02091207
     52,                  1,0.03600000,     0.00800000            ,1.00000000            ,0.00000000,   5.26727503,   5.26727503,3133229.28629865,   0.05013167,  62.00000000, 833.79032258,   0.02354158
     53,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.25880169,   5.25880169,3169366.25824812,   0.05070986,  63.00000000, 824.85714286,   0.02395983
     54,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   4.88794240,   4.88794240,3355639.10273858,   0.05369022,  67.00000000, 822.80597015,   0.02741440
     55,                  1,0.03300000,     0.01000000            ,1.00000000            ,0.00000000,   5.38652206,   5.38652206,3075843.83842446,   0.04921350,  61.00000000, 836.98360656,   0.02264912
     56,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   5.13410681,   5.13410681,3267454.04784369,   0.05227926,  65.00000000, 829.32307692,   0.02532086
     57,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.55203698,   5.55203698,3017575.21698177,   0.04828120,  60.00000000, 834.60000000,   0.02161369
     58,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.10549111,   5.10549111,3261571.49909116,   0.05218514,  65.00000000, 824.36923077,   0.02546278
     59,                  1,0.03700000,     0.00800000            ,1.00000000            ,0.00000000,   5.11438816,   5.11438816,3108703.80553158,   0.04973926,  62.00000000, 821.32258065,   0.02424532
     60,                  1,0.03600000,     0.00800000            ,1.00000000            ,0.00000000,   4.94132622,   4.94132622,3424252.97494630,   0.05478805,  68.00000000, 829.83823529,   0.02752298
     61,                  1,0.03600000,     0.00800000            ,1.00000000            ,0.00000000,   4.98035479,   4.98035479,3380430.05852839,   0.05408688,  67.00000000, 836.64179104,   0.02690571
     62,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   4.99261586,   4.99261586,3266973.20270811,   0.05227157,  65.00000000, 827.12307692,   0.02603845
     63,                  1,0.03400000,     0.00800000            ,1.00000000            ,0.00000000,   5.21148244,   5.21148244,3226228.84835341,   0.05161966,  64.00000000, 834.43750000,   0.02456115
     64,                  1,0.03500000,     0.01100000            ,1.00000000            ,0.00000000,   5.26244460,   5.26244460,3235062.11332966,   0.05176099,  64.00000000, 832.51562500,   0.02432330
     65,                  1,0.03300000,     0.00900000            ,1.00000000            ,0.00000000,   5.87296651,   5.87296651,2879867.89984776,   0.04607789,  57.00000000, 850.96491228,   0.01941097
     66,                  1,0.03500000,     0.00800000            ,1.00000000            ,0.00000000,   5.24032952,   5.24032952,3177802.42371912,   0.05084484,  63.00000000, 836.31746032,   0.02404429
