Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:06 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,     0.25,              1,       1e-08,       1e-08,    4,         3,       0.25,        0
   1,     0.75,              1,       1e-08,       1e-08,    2,         0,       0.75,        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     33,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.18097533,   3.18097533,201923.23465142,   0.06461543,  17.00000000, 145.29411765,   0.05344273
     34,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   4.02790543,   4.02790543,154488.14176632,   0.04943620,  13.00000000, 155.92307692,   0.03227484
     35,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   4.09880522,   4.09880522,140829.57473828,   0.04506546,  12.00000000, 147.00000000,   0.02927682
     36,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.40012030,   3.40012030,166324.74656885,   0.05322392,  14.00000000, 148.71428571,   0.04117501
     37,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.27043749,   3.27043749,187325.03760244,   0.05994401,  16.00000000, 144.50000000,   0.04892312
     38,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.68858274,   3.68858274,154165.84953611,   0.04933307,  13.00000000, 154.30769231,   0.03524389
     39,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   3.47177777,   3.47177777,165208.14021821,   0.05286660,  14.00000000, 148.78571429,   0.04032516
     40,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   5.50564505,   5.50564505,130641.65736998,   0.04180533,  11.00000000, 162.90909091,   0.01997949
     41,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.77535029,   3.77535029,167048.14214788,   0.05345540,  14.00000000, 148.78571429,   0.03708265
     42,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.49536085,   3.49536085,150977.40605722,   0.04831277,  13.00000000, 148.69230769,   0.03719215
