Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:19 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.4;              1;       1e-08;       1e-08;    4;         3;        0.4;        0
   1;      0.6;              1;       1e-08;       1e-08;    2;         0;        0.6;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     28;                  1;0.00600000;     0.00800000            ;1.00000000            ;0.00000000; 718.59835277; 718.59835277;20936.55707722;   0.00033498;   1.00000000;2929.00000000;   0.00000278
     29;                  1;0.01100000;     0.00900000            ;1.00000000            ;0.00000000; 202.46642270; 202.46642270;74904.23885640;   0.00119847;   2.00000000;1587.50000000;   0.00001976
     30;                  1;0.01100000;     0.00900000            ;1.00000000            ;0.00000000; 259.98730178; 259.98730178;56903.31555005;   0.00091045;   2.00000000;1969.50000000;   0.00001539
     31;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 196.31013956; 196.31013956;80150.74863953;   0.00128241;   2.00000000;1413.50000000;   0.00002038
     32;                  1;0.00300000;     0.00900000            ;1.00000000            ;0.00000000; 268.74127025; 268.74127025;46915.62355425;   0.00075065;   1.00000000;1010.00000000;   0.00000744
     33;                  1;0.00400000;     0.00900000            ;1.00000000            ;0.00000000; 177.12515747; 177.12515747;85346.51053491;   0.00136554;   2.00000000;1423.00000000;   0.00002258
     34;                  1;0.00200000;     0.00800000            ;1.00000000            ;0.00000000; 342.42097110; 342.42097110;50511.27634178;   0.00080818;   1.00000000;1039.00000000;   0.00000584
     35;                  1;0.00500000;     0.00900000            ;1.00000000            ;0.00000000; 478.68773504; 478.68773504;38203.15272801;   0.00061125;   1.00000000;1553.00000000;   0.00000418
     36;                  1;0.00400000;     0.00900000            ;1.00000000            ;0.00000000; 173.64015492; 173.64015492;82450.09195535;   0.00131920;   2.00000000;1334.50000000;   0.00002304
     37;                  1;0.00500000;     0.00900000            ;1.00000000            ;0.00000000; 464.38373075; 464.38373075;35220.36967285;   0.00056353;   1.00000000;1717.00000000;   0.00000431
