Electric,Thermal, Mechanical Properties Estimation With Percolation Theory (ETMPEWPT) (2D version) 
Version 2.0 Percolation, Cluster Analysis, Electric - Thermal - Mechanical properties
Report starting: ;Mon May 26 15:02:26 2025
---------------------------------------------------------------------------------------------------
Inputs
    |#; % Weights; % Spec.Weights; X Dimension; Y Dimension; Type; Size type;       Area;     hoop;
     0;      0,4;         1,6532;       1e-08;       1e-08;    4;         3;   0,349947;    5e-10
     1;      0,3;          1,328;       1e-08;       1e-08;    3;         0;   0,326731;    5e-10
     2;      0,3;          1,342;       1e-09;       1e-08;    1;         0;   0,323322;    5e-10
Pixels Per minimum Size (ppms):;101
Factor [ppms / minimumSize]:;1,01e+10
Maximum Dimension:;1e-08
Minimum Dimension:;1e-08
Grid size;1.000;x;1.000
Total iterations: ;200
---------------------------------------------------------------------------------------------------
Realization No;PercolateY[1]/N[0];Process Time;Setup Time               ;% Real Area Comp[0]              ;% Real Area Comp[1]              ;% Real Area Comp[2];Electric Conductivity;Thermal Conductivity;Young Modulus;Poisson Ratio;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     21;                  1;0,06900000000000001;0,12200000000000000            ;0,34947900000000010            ;0,32718399999999997            ;0,32333699999999999;23,45140922153552410;23,45140922153552410;27.785.340,60639707371592522;0,30135574329920833;88,00000000000000000;1.589,70454545454549589;0,00375243974333062
     22;                  1;0,06300000000000000;0,12700000000000000            ;0,34583500000000000            ;0,33004400000000000            ;0,32412099999999999;31,77447797205343960;31,77447797205343960;3.597.873,32314288662746549;0,30113029692025722;74,00000000000000000;1.795,72972972972979733;0,00232891316310799
     23;                  1;0,07600000000000000;0,12200000000000000            ;0,34504699999999999            ;0,33151999999999998            ;0,32343300000000003;24,96932972607704215;24,96932972607704215;41.160.919,46626641601324081;0,30124065024844671;78,00000000000000000;1.548,91025641025635196;0,00312383235175671
     24;                  1;0,07400000000000000;0,12100000000000000            ;0,34661999999999993            ;0,32987600000000000            ;0,32350400000000001;17,73355203903945920;17,73355203903945920;111.340.807,44894729554653168;0,30167103567254971;103,00000000000000000;1.481,66990291262141000;0,00580819904400715
     25;                  1;0,08000000000000000;0,12000000000000000            ;0,34319199999999994            ;0,33329900000000001            ;0,32350899999999999;20,18548210134009580;20,18548210134009580;55.303.261,21306052058935165;0,30152050473989339;99,00000000000000000;1.534,60606060606050960;0,00490451501247164
     26;                  1;0,06300000000000000;0,11700000000000001            ;0,34871999999999992            ;0,32785500000000001            ;0,32342500000000002;22,13988617573227913;22,13988617573227913;16.368.589,17616320028901100;0,30148704516777403;93,00000000000000000;1.646,15053763440869261;0,00420056360099711
     27;                  1;0,06400000000000000;0,12300000000000000            ;0,34880200000000006            ;0,32767099999999999            ;0,32352700000000001;44,03861208429938046;44,03861208429938046;8.593.715,55426085554063320;0,30075889968614161;45,00000000000000000;1.671,04444444444447981;0,00102183056799929
     28;                  1;0,07700000000000000;0,11799999999999999            ;0,34644500000000000            ;0,33022200000000002            ;0,32333299999999998;17,51039715971226940;17,51039715971226940;90.806.295,04723675549030304;0,30171271336615579;103,00000000000000000;1.499,51456310679600392;0,00588221952138135
     29;                  1;0,08500000000000001;0,11700000000000001            ;0,34742300000000004            ;0,32917600000000002            ;0,32340099999999999;17,90462152779344862;17,90462152779344862;29.673.080,76364633440971375;0,30178686179221864;107,00000000000000000;1.599,65420560747656964;0,00597611068370830
     30;                  1;0,06600000000000000;0,12000000000000000            ;0,34879899999999997            ;0,32778600000000002            ;0,32341500000000001;22,87504141674295255;22,87504141674295255;18.470.899,70055409893393517;0,30142663557331095;92,00000000000000000;1.631,71739130434775689;0,00402185064166320
     31;                  1;0,08900000000000000;0,12200000000000000            ;0,34735199999999999            ;0,32916200000000001            ;0,32348600000000000;16,37699183573617034;16,37699183573617034;42.758.032,43722235411405563;0,30191772443267123;122,00000000000000000;1.570,32786885245900521;0,00744947553394905
     32;                  1;0,07600000000000000;0,11700000000000001            ;0,34349399999999997            ;0,33269500000000002            ;0,32381100000000002;17,78259972430690894;17,78259972430690894;28.948.719,97849307209253311;0,30180228182016261;121,00000000000000000;1.602,46280991735534371;0,00680440441082447
     33;                  1;0,06500000000000000;0,15100000000000000            ;0,34692299999999998            ;0,32924500000000001            ;0,32383200000000001;19,89489020784960260;19,89489020784960260;34.274.329,09860634803771973;0,30158786423475314;104,00000000000000000;1.579,51923076923071676;0,00522747292965539
     34;                  1;0,06200000000000000;0,12800000000000000            ;0,34456899999999990            ;0,33124900000000002            ;0,32418200000000003;33,46965874430460275;33,46965874430460275;13.660.218,89929984882473946;0,30097938454996181;60,00000000000000000;1.638,98333333333334849;0,00179266841225891
     35;                  1;0,07800000000000000;0,11300000000000000            ;0,34245300000000001            ;0,33410099999999998            ;0,32344600000000001;16,58352572153635762;16,58352572153635762;98.227.902,25641195476055145;0,30180411771181920;117,00000000000000000;1.495,93162393162401713;0,00705519453249057
     36;                  1;0,05600000000000000;0,11700000000000001            ;0,34823899999999997            ;0,32811600000000002            ;0,32364500000000002;28,60135824690129169;28,60135824690129169;15.158.144,33885830268263817;0,30114544739688720;74,00000000000000000;1.638,06756756756749382;0,00258728971404766
     37;                  1;0,07099999999999999;0,12000000000000000            ;0,34415200000000001            ;0,33245100000000000            ;0,32339699999999999;23,29278796840387145;23,29278796840387145;6.719.671,58324142824858427;0,30149457601007168;95,00000000000000000;1.740,64210526315787320;0,00407851563878336
     38;                  1;0,06400000000000000;0,12300000000000000            ;0,34387000000000001            ;0,33232400000000001            ;0,32380599999999998;19,19410856534500809;19,19410856534500809;16.543.157,85030659660696983;0,30172340828445710;112,00000000000000000;1.653,96428571428577925;0,00583512381513858
     39;                  1;0,07199999999999999;0,11899999999999999            ;0,34948099999999993            ;0,32714599999999999            ;0,32337300000000002;20,10534014827292992;20,10534014827292992;30.841.693,44779729098081589;0,30158062433485955;99,00000000000000000;1.588,94949494949491964;0,00492406491359482
     40;                  1;0,07900000000000000;0,11799999999999999            ;0,34645300000000001            ;0,33008100000000001            ;0,32346599999999998;16,80996769185499673;16,80996769185499673;47.469.835,61344992369413376;0,30185501902733963;121,00000000000000000;1.559,14049586776854994;0,00719811020568639
     41;                  1;0,06300000000000000;0,11700000000000001            ;0,34808400000000006            ;0,32833699999999999            ;0,32357900000000001;23,51552234346304004;23,51552234346304004;32.633.216,20687696710228920;0,30133882030616604;85,00000000000000000;1.574,15294117647067651;0,00361463371974081
     42;                  1;0,06900000000000001;0,14399999999999999            ;0,34571100000000010            ;0,33082099999999998            ;0,32346799999999998;19,26995408359062623;19,26995408359062623;13.423.052,34876799769699574;0,30173920572249585;111,00000000000000000;1.675,72072072072069204;0,00576026281736303
     43;                  1;0,07199999999999999;0,12500000000000000            ;0,34655999999999998            ;0,32983899999999999            ;0,32360100000000003;23,83554562245054953;23,83554562245054953;78.597.635,93200579285621643;0,30125382804946271;74,00000000000000000;1.494,28378378378374691;0,00310460692497427
     44;                  1;0,06800000000000000;0,11899999999999999            ;0,34934500000000002            ;0,32709800000000000            ;0,32355699999999998;18,31457376989587971;18,31457376989587971;85.955.989,31272362172603607;0,30163983631850455;93,00000000000000000;1.501,64516129032267600;0,00507792325218436
     45;                  1;0,07400000000000000;0,12400000000000000            ;0,34876700000000005            ;0,32784200000000002            ;0,32339099999999998;18,74253973774655790;18,74253973774655790;22.639.833,25560347735881805;0,30173239815621206;109,00000000000000000;1.623,47706422018359262;0,00581564726686850
     46;                  1;0,05100000000000000;0,12500000000000000            ;0,34186300000000003            ;0,33462799999999998            ;0,32350899999999999;34,50671069791637535;34,50671069791637535;37.526.021,11150370538234711;0,30089153465946800;56,00000000000000000;1.538,19642857142866887;0,00162287273598006
     47;                  1;0,05900000000000000;0,11899999999999999            ;0,34199899999999994            ;0,33417500000000000            ;0,32382600000000000;24,68745186035933159;24,68745186035933159;53.531.909,29089494049549103;0,30123607900881172;78,00000000000000000;1.525,78205128205127039;0,00315949983178477
     48;                  1;0,07700000000000000;0,11500000000000000            ;0,34859100000000010            ;0,32807799999999998            ;0,32333099999999998;20,84141888932694542;20,84141888932694542;7.814.939,69369988795369864;0,30166062204353522;107,00000000000000000;1.730,48598130841128295;0,00513400745737113
     49;                  1;0,07199999999999999;0,11899999999999999            ;0,34813600000000000            ;0,32852500000000001            ;0,32333899999999999;20,68638487179116936;20,68638487179116936;10.436.197,01739448867738247;0,30164212908617183;105,00000000000000000;1.698,48571428571426623;0,00507580230430608
     50;                  1;0,06300000000000000;0,13700000000000001            ;0,34331500000000004            ;0,33301199999999997            ;0,32367299999999999;25,57241787792183274;25,57241787792183274;21.471.282,38810424879193306;0,30125892777578489;81,00000000000000000;1.609,69135802469145347;0,00316747522219759
     51;                  1;0,06600000000000000;0,12400000000000000            ;0,34817699999999996            ;0,32783899999999999            ;0,32398399999999999;23,72468737002803962;23,72468737002803962;8.918.148,26780473068356514;0,30143909167136729;90,00000000000000000;1.707,09999999999990905;0,00379351679523917
     52;                  1;0,05900000000000000;0,12100000000000000            ;0,34784100000000007            ;0,32854499999999998            ;0,32361400000000001;33,73355395931216094;33,73355395931216094;3.972.964,54727632133290172;0,30105482337317285;68,00000000000000000;1.779,14705882352950539;0,00201579709277055
     53;                  1;0,05700000000000000;0,11700000000000001            ;0,34802000000000000            ;0,32821200000000000            ;0,32376800000000000;25,83106639969139096;25,83106639969139096;9.419.403,21181356534361839;0,30131276491347114;85,00000000000000000;1.695,50588235294117112;0,00329061133925990
     54;                  1;0,08599999999999999;0,12800000000000000            ;0,34676899999999999            ;0,32952500000000001            ;0,32370599999999999;13,90295840766619051;13,90295840766619051;56.758.934,49261569976806641;0,30223542451708479;142,00000000000000000;1.553,95070422535218313;0,01021365351432686
     55;                  1;0,06100000000000000;0,12100000000000000            ;0,34713499999999997            ;0,32952399999999998            ;0,32334099999999999;23,71299366406483244;23,71299366406483244;8.569.881,91395449265837669;0,30144360023952649;96,00000000000000000;1.711,60416666666674246;0,00404841334502106
     56;                  1;0,07099999999999999;0,11899999999999999            ;0,34689900000000007            ;0,32962599999999997            ;0,32347500000000001;24,94858128885498161;24,94858128885498161;55.083.697,63300670683383942;0,30122061048872562;72,00000000000000000;1.522,62500000000000000;0,00288593564364976
     57;                  1;0,05200000000000000;0,12200000000000000            ;0,34186200000000000            ;0,33427499999999999            ;0,32386300000000001;39,33388109713043690;39,33388109713043690;58.529.257,77747163921594620;0,30075803137035589;38,00000000000000000;1.490,81578947368416266;0,00096608824097890
     58;                  1;0,07000000000000001;0,11300000000000000            ;0,34841699999999998            ;0,32818399999999998            ;0,32339899999999999;30,34549108118396887;30,34549108118396887;10.010.651,03744399361312389;0,30110620736725907;69,00000000000000000;1.678,42028985507249672;0,00227381391902351
     59;                  1;0,08000000000000000;0,11700000000000001            ;0,34318800000000005            ;0,33346500000000001            ;0,32334700000000000;18,78075228585624146;18,78075228585624146;115.215.303,09701426327228546;0,30157142401983283;99,00000000000000000;1.475,62626262626258722;0,00527135433624545
     60;                  1;0,07199999999999999;0,11600000000000001            ;0,34562999999999999            ;0,33067099999999999            ;0,32369900000000001;18,35583344153889485;18,35583344153889485;85.916.476,05541098117828369;0,30163605385563758;106,00000000000000000;1.501,55660377358481128;0,00577473097789851
     61;                  1;0,06900000000000001;0,11799999999999999            ;0,34762699999999991            ;0,32856800000000003            ;0,32380500000000001;29,62045716294505482;29,62045716294505482;20.369.058,34802208095788956;0,30108430821109045;61,00000000000000000;1.605,88524590163933681;0,00205938752614225
     62;                  1;0,06900000000000001;0,12200000000000000            ;0,34307600000000005            ;0,33334799999999998            ;0,32357599999999997;27,39361070795700925;27,39361070795700925;6.247.080,49815109558403492;0,30126923449534715;83,00000000000000000;1.738,44578313253009583;0,00302990361091359
     63;                  1;0,05300000000000000;0,11200000000000000            ;0,34911500000000006            ;0,32727800000000001            ;0,32360699999999998;32,23956402051298653;32,23956402051298653;7.955.248,02758289687335491;0,30105458544595598;64,00000000000000000;1.699,96875000000000000;0,00198513850743387
     64;                  1;0,07400000000000000;0,12000000000000000            ;0,34355500000000005            ;0,33285199999999998            ;0,32359300000000002;25,19277593078026811;25,19277593078026811;25.713.235,41680741682648659;0,30126454647097906;78,00000000000000000;1.592,87179487179491844;0,00309612565976505
     65;                  1;0,06700000000000000;0,13100000000000001            ;0,34234900000000001            ;0,33407300000000001            ;0,32357799999999998;19,16908947718980016;19,16908947718980016;46.440.307,22956698387861252;0,30162077144604377;101,00000000000000000;1.553,43564356435649643;0,00526889918898781
     66;                  1;0,07000000000000001;0,12200000000000000            ;0,34592000000000001            ;0,33071200000000001            ;0,32336799999999999;23,65763948522868176;23,65763948522868176;16.953.764,19275076687335968;0,30138508392235897;87,00000000000000000;1.638,39080459770116249;0,00367745903196813
     67;                  1;0,09300000000000000;0,11600000000000001            ;0,34456299999999995            ;0,33145700000000000            ;0,32397999999999999;15,40379942059438179;15,40379942059438179;92.008.522,22998268902301788;0,30195490730421604;120,00000000000000000;1.505,65000000000009095;0,00779028580699148
     68;                  1;0,07300000000000000;0,13000000000000000            ;0,34932900000000000            ;0,32714700000000002            ;0,32352399999999998;22,19564563742380159;22,19564563742380159;90.622.191,59934069216251373;0,30133923241930882;78,00000000000000000;1.486,25641025641016313;0,00351420279788956
     69;                  1;0,07300000000000000;0,11000000000000000            ;0,34791400000000006            ;0,32870899999999997            ;0,32337700000000003;20,50813753464043288;20,50813753464043288;59.134.742,00254178047180176;0,30148986155679308;98,00000000000000000;1.527,71428571428577925;0,00477859092930636
     70;                  1;0,07099999999999999;0,12900000000000000            ;0,34683700000000006            ;0,32971400000000001            ;0,32344899999999999;38,36949537933708854;38,36949537933708854;4.386.972,57918744906783104;0,30091642610021085;57,00000000000000000;1.758,14035087719298645;0,00148555511185315
     71;                  1;0,05500000000000000;0,11799999999999999            ;0,34725999999999990            ;0,32892100000000002            ;0,32381900000000002;28,29142065920859395;28,29142065920859395;14.708.105,58176343515515327;0,30116069109415017;75,00000000000000000;1.641,88000000000010914;0,00265098034147635
     72;                  1;0,07600000000000000;0,11899999999999999            ;0,34926699999999999            ;0,32706700000000000            ;0,32366600000000001;18,77806628100888986;18,77806628100888986;8.856.993,50273056328296661;0,30183514727904814;116,00000000000000000;1.723,02586206896557997;0,00617741988254222
     73;                  1;0,07300000000000000;0,11000000000000000            ;0,34812899999999991            ;0,32806200000000002            ;0,32380900000000001;18,76390022070080121;18,76390022070080121;59.034.402,04000451415777206;0,30163401018337210;99,00000000000000000;1.533,02020202020207762;0,00527608859754971
     74;                  1;0,07000000000000001;0,11600000000000001            ;0,34908399999999995            ;0,32699800000000001            ;0,32391799999999998;26,61971965891116554;26,61971965891116554;20.315.018,81278927996754646;0,30121168798671966;73,00000000000000000;1.612,73972602739718241;0,00274232790335050
     75;                  1;0,06000000000000000;0,13600000000000001            ;0,34887299999999999            ;0,32768799999999998            ;0,32343899999999998;26,97259667230950697;26,97259667230950697;62.231.048,17824006080627441;0,30111768881814477;66,00000000000000000;1.507,34848484848475891;0,00244692792473172
     76;                  1;0,07600000000000000;0,11799999999999999            ;0,34353699999999998            ;0,33312500000000000            ;0,32333800000000001;21,73394083808551969;21,73394083808551969;23.238.662,20534121617674828;0,30148322407739958;92,00000000000000000;1.611,81521739130425885;0,00423301051039872
     77;                  1;0,06400000000000000;0,12600000000000000            ;0,34440999999999999            ;0,33171499999999998            ;0,32387500000000002;25,19239313468028385;25,19239313468028385;4.070.356,89256247226148844;0,30142584467336653;91,00000000000000000;1.796,02197802197792953;0,00361220148929511
     78;                  1;0,07300000000000000;0,11799999999999999            ;0,34380100000000002            ;0,33227000000000001            ;0,32392900000000002;19,23664917148749609;19,23664917148749609;12.037.633,17418604344129562;0,30175450570990481;111,00000000000000000;1.687,54054054054063272;0,00577023571051677
     79;                  1;0,07500000000000000;0,11899999999999999            ;0,34787900000000005            ;0,32842100000000002            ;0,32369999999999999;27,92861246580051215;27,92861246580051215;23.990.030,39205307140946388;0,30114101773915702;71,00000000000000000;1.593,35211267605632202;0,00254219575308089
     80;                  1;0,07900000000000000;0,11600000000000001            ;0,34927200000000003            ;0,32739200000000002            ;0,32333600000000001;21,21947758618534152;21,21947758618534152;14.171.580,58501273766160011;0,30156825727046477;100,00000000000000000;1.663,88000000000010914;0,00471265136447580
     81;                  1;0,07300000000000000;0,12100000000000000            ;0,34716199999999997            ;0,32916299999999998            ;0,32367499999999999;18,79550935010338364;18,79550935010338364;62.702.518,90083184838294983;0,30162546572915894;103,00000000000000000;1.527,57281553398047436;0,00548003238866381
     82;                  1;0,06400000000000000;0,12300000000000000            ;0,34483500000000000            ;0,33148400000000000            ;0,32368100000000000;20,33217283254325736;20,33217283254325736;22.990.702,72781103849411011;0,30159054283993847;99,00000000000000000;1.616,95959595959607213;0,00486913035883418
     83;                  1;0,06100000000000000;0,11600000000000001            ;0,34583699999999995            ;0,33083699999999999            ;0,32332600000000000;28,84686420345602542;28,84686420345602542;120.384.147,03474406898021698;0,30100396667444745;62,00000000000000000;1.448,06451612903219939;0,00214928040575627
     84;                  1;0,07099999999999999;0,12000000000000000            ;0,34466299999999994            ;0,33168500000000001            ;0,32365200000000000;19,19017691888863553;19,19017691888863553;162.472.721,94490844011306763;0,30150763476022469;90,00000000000000000;1.446,58888888888895963;0,00468989944076098
     85;                  1;0,05600000000000000;0,11799999999999999            ;0,34831900000000005            ;0,32760299999999998            ;0,32407799999999998;28,12166448380359540;28,12166448380359540;6.760.019,24210393894463778;0,30122860437439247;75,00000000000000000;1.727,51999999999998181;0,00266698296052837
     86;                  1;0,06900000000000001;0,13800000000000001            ;0,34407800000000011            ;0,33237299999999997            ;0,32354899999999998;18,11915138176994589;18,11915138176994589;61.734.536,55814124643802643;0,30169000188556339;100,00000000000000000;1.531,06999999999993634;0,00551902227058007
     87;                  1;0,06100000000000000;0,13100000000000001            ;0,34923499999999996            ;0,32702999999999999            ;0,32373499999999999;23,34412856954798343;23,34412856954798343;37.588.369,24002977460622787;0,30133764568450161;81,00000000000000000;1.561,30864197530854653;0,00346982324736093
     88;                  1;0,07000000000000001;0,11600000000000001            ;0,34963900000000003            ;0,32703100000000002            ;0,32333000000000001;30,14482375215981946;30,14482375215981946;46.540.688,16626293957233429;0,30101285759850943;58,00000000000000000;1.526,62068965517232755;0,00192404508571208
     89;                  1;0,06700000000000000;0,12000000000000000            ;0,34746699999999997            ;0,32897700000000002            ;0,32355600000000001;17,47643367661042646;17,47643367661042646;60.743.316,42911882698535919;0,30175619158804934;117,00000000000000000;1.534,59829059829053222;0,00669472972375290
     90;                  1;0,07199999999999999;0,11400000000000000            ;0,34776999999999991            ;0,32846900000000001            ;0,32376100000000002;20,03970471201390069;20,03970471201390069;27.367.721,46988463029265404;0,30159752461569134;102,00000000000000000;1.600,69607843137259806;0,00508989535853043
     91;                  1;0,07600000000000000;0,11500000000000000            ;0,34576800000000008            ;0,33087200000000000            ;0,32335999999999998;21,78979542501959088;21,78979542501959088;68.563.260,74898073077201843;0,30138707845827001;77,00000000000000000;1.511,20779220779218122;0,00353376424597299
     92;                  1;0,06200000000000000;0,11799999999999999            ;0,34721999999999997            ;0,32915200000000000            ;0,32362800000000003;28,80981741022427300;28,80981741022427300;15.936.281,05216600373387337;0,30113325671086455;74,00000000000000000;1.632,44594594594605041;0,00256856886478351
     93;                  1;0,07800000000000000;0,12000000000000000            ;0,34184999999999999            ;0,33439700000000000            ;0,32375300000000001;15,45956630981090996;15,45956630981090996;350.165.324,04317861795425415;0,30181040739737863;106,00000000000000000;1.399,40566037735857208;0,00685659596626139
     94;                  1;0,07800000000000000;0,12100000000000000            ;0,34210600000000002            ;0,33439000000000002            ;0,32350400000000001;20,47445184826778686;20,47445184826778686;19.332.105,07146958634257317;0,30159608619274247;99,00000000000000000;1.633,94949494949491964;0,00483529428449025
     95;                  1;0,06800000000000000;0,11400000000000000            ;0,34936299999999998            ;0,32718000000000003            ;0,32345699999999999;22,02572641784510310;22,02572641784510310;8.015.029,13688452821224928;0,30156543322419704;102,00000000000000000;1.723,99019607843138147;0,00463094828588083
     96;                  1;0,05700000000000000;0,11799999999999999            ;0,34895299999999996            ;0,32734400000000002            ;0,32370300000000002;18,93584915069097363;18,93584915069097363;143.802.698,03474009037017822;0,30153897604221008;99,00000000000000000;1.457,09090909090900823;0,00522817853121667
     97;                  1;0,05900000000000000;0,11700000000000001            ;0,34402400000000000            ;0,33227899999999999            ;0,32369700000000001;23,73912371986273229;23,73912371986273229;11.621.142,70689655840396881;0,30141366173853384;88,00000000000000000;1.677,95454545454549589;0,00370696075552147
     98;                  1;0,07400000000000000;0,11300000000000000            ;0,34580900000000003            ;0,33059500000000003            ;0,32359599999999999;25,71109642399947148;25,71109642399947148;68.478.286,98066698014736176;0,30116820698182689;68,00000000000000000;1.501,79411764705878340;0,00264477247016688
     99;                  1;0,06800000000000000;0,11899999999999999            ;0,34764600000000001            ;0,32880799999999999            ;0,32354600000000000;20,83585145813950490;20,83585145813950490;33.678.264,52405617386102676;0,30151509687025541;96,00000000000000000;1.578,41666666666674246;0,00460744309839556
    100;                  1;0,05700000000000000;0,12100000000000000            ;0,34720499999999999            ;0,32942500000000002            ;0,32336999999999999;39,33729073781890406;39,33729073781890406;34.928.427,65353006869554520;0,30078143574813704;46,00000000000000000;1.536,97826086956524705;0,00116937387240488
    101;                  1;0,08200000000000000;0,12000000000000000            ;0,34646200000000005            ;0,33002199999999998            ;0,32351600000000003;16,44701218046581204;16,44701218046581204;149.884.984,82160055637359619;0,30177725757130497;104,00000000000000000;1.461,52884615384618883;0,00632333695985957
