Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:51 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.2,              1,       1e-08,       1e-08,    4,         3,        0.2,        0
   1,      0.8,              1,       1e-08,       1e-08,    2,         0,        0.8,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     33,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.58854895,   3.58854895,5172568.69770408,   0.08276110, 105.00000000, 762.86666667,   0.05851947
     34,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.49418061,   3.49418061,5148143.27809779,   0.08237029, 105.00000000, 759.52380952,   0.06009993
     35,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.45919442,   3.45919442,5034957.11648424,   0.08055931, 103.00000000, 749.01941748,   0.05955144
     36,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.42852596,   3.42852596,5301974.08929782,   0.08483158, 108.00000000, 756.29629630,   0.06300084
     37,                  1,0.04200000,     0.00800000            ,1.00000000            ,0.00000000,   3.72553976,   3.72553976,5154570.05160712,   0.08247312, 104.00000000, 778.15384615,   0.05583084
     38,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.49095596,   3.49095596,5218650.63542436,   0.08349841, 106.00000000, 760.05660377,   0.06072835
     39,                  1,0.04500000,     0.01000000            ,1.00000000            ,0.00000000,   3.45120679,   3.45120679,5205081.49142553,   0.08328130, 106.00000000, 757.84905660,   0.06142779
     40,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.42508105,   3.42508105,5305124.80108017,   0.08488199, 108.00000000, 758.41666667,   0.06306420
     41,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.49586653,   3.49586653,5314937.05231363,   0.08503899, 108.00000000, 758.52777778,   0.06178726
     42,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.42112068,   3.42112068,5363101.93563296,   0.08580963, 109.00000000, 762.27522936,   0.06372181
     43,                  1,0.04300000,     0.00800000            ,1.00000000            ,0.00000000,   3.54602930,   3.54602930,5325705.29565352,   0.08521128, 108.00000000, 763.56481481,   0.06091320
