Electric,Thermal, Mechanical Properties Estimation With Percolation Theory (ETMPEWPT) (2D version) 
Version 2.0 Percolation, Cluster Analysis,  Electric - Thermal - Mechanical properties
Report starting: ,Thu May 22 09:31:41 2025
---------------------------------------------------------------------------------------------------
Inputs
    |#, % Weights, % Spec.Weights, X Dimension, Y Dimension, Type, Size type,       Area,     hoop,
     0,     0.59,              1,       1e-08,       1e-08,    4,         3,       0.59,        0
     1,     0.41,              1,       1e-08,       1e-08,    2,         0,       0.41,        0
Pixels Per minimum Size (ppms):,101
Factor [ppms / minimumSize]:,1.01e+10
Maximum Dimension:,1e-08
Minimum Dimension:,1e-08
Grid size,300,x,300
Total iterations: ,300
---------------------------------------------------------------------------------------------------
Realization No,PercolateY[1]/N[0],Process Time,Setup Time               ,% Real Area Comp[0]              ,% Real Area Comp[1],Electric Conductivity,Thermal Conductivity,Young Modulus,Poisson Ratio,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  0,     0.001,          0.001            ,0.580489            ,0.419511,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      2,                  0,0.00100000000000000,0.00100000000000000            ,0.56673333333333331            ,0.43326666666666669,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      3,                  0,0.00000000000000000,0.00100000000000000            ,0.55856666666666666            ,0.44143333333333334,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      4,                  0,0.00000000000000000,0.00100000000000000            ,0.56650000000000000            ,0.43350000000000000,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      5,                  0,0.00000000000000000,0.00100000000000000            ,0.58514444444444447            ,0.41485555555555553,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      6,                  0,0.00000000000000000,0.00100000000000000            ,0.57968888888888892            ,0.42031111111111114,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      7,                  0,0.00100000000000000,0.00100000000000000            ,0.58687777777777783            ,0.41312222222222222,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      8,                  0,0.00100000000000000,0.00100000000000000            ,0.56334444444444443            ,0.43665555555555557,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
      9,                  0,0.00000000000000000,0.00100000000000000            ,0.57491111111111115            ,0.42508888888888891,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     10,                  0,0.00000000000000000,0.00100000000000000            ,0.55136666666666667            ,0.44863333333333333,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     11,                  0,0.00100000000000000,0.00000000000000000            ,0.58037777777777777            ,0.41962222222222223,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     12,                  0,0.00100000000000000,0.00100000000000000            ,0.51447777777777781            ,0.48552222222222224,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     13,                  0,0.00000000000000000,0.00100000000000000            ,0.58909999999999996            ,0.41089999999999999,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     14,                  0,0.00100000000000000,0.00100000000000000            ,0.57119999999999993            ,0.42880000000000001,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     15,                  0,0.00100000000000000,0.00100000000000000            ,0.57776666666666665            ,0.42223333333333335,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     16,                  0,0.00000000000000000,0.00000000000000000            ,0.56708888888888886            ,0.43291111111111114,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     17,                  0,0.00100000000000000,0.00100000000000000            ,0.52926666666666666            ,0.47073333333333334,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     18,                  0,0.00000000000000000,0.00100000000000000            ,0.56246666666666667            ,0.43753333333333333,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     19,                  0,0.00200000000000000,0.00100000000000000            ,0.54197777777777778            ,0.45802222222222222,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
     20,                  0,0.00100000000000000,0.00100000000000000            ,0.56000000000000005            ,0.44000000000000000,0.00000000000000000,0.00000000000000000,100000.00000000000000000,0.29999999999999999,0.00000000000000000,0.00000000000000000,0.00000000000000000
