Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:02 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.3;              1;       1e-08;       1e-08;    4;         3;        0.3;        0
   1;      0.7;              1;       1e-08;       1e-08;    2;         0;        0.7;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     33;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   6.01869654;   6.01869654;95510.56591752;   0.03056338;   8.00000000; 166.75000000;   0.01329191
     34;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.62900653;   5.62900653;94634.53491491;   0.03028305;   8.00000000; 155.75000000;   0.01421210
     35;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.38506484;   5.38506484;95118.96882912;   0.03043807;   8.00000000; 155.00000000;   0.01485590
     36;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.30792480;   6.30792480;108472.71487529;   0.03471127;   9.00000000; 173.00000000;   0.01426777
     37;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   7.03581630;   7.03581630;84857.33806220;   0.02715435;   7.00000000; 157.85714286;   0.00994909
     38;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   5.40048504;   5.40048504;95645.20978153;   0.03060647;   8.00000000; 152.50000000;   0.01481348
     39;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   8.49748363;   8.49748363;71685.15531355;   0.02293925;   6.00000000; 192.66666667;   0.00706091
     40;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   5.92076507;   5.92076507;109005.68909162;   0.03488182;   9.00000000; 163.44444444;   0.01520074
     41;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.98717834;   6.98717834;93531.96015687;   0.02993023;   8.00000000; 169.37500000;   0.01144954
     42;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.01250452;   5.01250452;107104.32049330;   0.03427338;   9.00000000; 160.44444444;   0.01795510
