Electric,Thermal, Mechanical Properties Estimation With Percolation Theory (ETMPEWPT) (2D version) 
Version 2.0 Percolation, Cluster Analysis,  Electric - Thermal - Mechanical properties
Report starting: ;Thu May 22 09:31:47 2025
---------------------------------------------------------------------------------------------------
Inputs
    |#; % Weights; % Spec.Weights; X Dimension; Y Dimension; Type; Size type;       Area;     hoop;
     0;     0,56;              1;       1e-08;       1e-08;    4;         3;       0,56;        0
     1;     0,44;              1;       1e-08;       1e-08;    2;         0;       0,44;        0
Pixels Per minimum Size (ppms):;101
Factor [ppms / minimumSize]:;1,01e+10
Maximum Dimension:;1e-08
Minimum Dimension:;1e-08
Grid size;300;x;300
Total iterations: ;300
---------------------------------------------------------------------------------------------------
Realization No;PercolateY[1]/N[0];Process Time;Setup Time               ;% Real Area Comp[0]              ;% Real Area Comp[1];Electric Conductivity;Thermal Conductivity;Young Modulus;Poisson Ratio;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     25;                  0;0,00000000000000000;0,00100000000000000            ;0,49596666666666667            ;0,50403333333333333;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     26;                  0;0,00200000000000000;0,00100000000000000            ;0,55162222222222224            ;0,44837777777777776;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     27;                  0;0,00000000000000000;0,00100000000000000            ;0,55712222222222230            ;0,44287777777777776;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     28;                  0;0,00100000000000000;0,00100000000000000            ;0,54276666666666662            ;0,45723333333333332;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     29;                  0;0,00000000000000000;0,00100000000000000            ;0,50623333333333331            ;0,49376666666666669;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     30;                  0;0,00100000000000000;0,00100000000000000            ;0,53095555555555562            ;0,46904444444444443;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     31;                  0;0,00000000000000000;0,00100000000000000            ;0,48131111111111113            ;0,51868888888888887;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     32;                  0;0,00100000000000000;0,00100000000000000            ;0,55484444444444447            ;0,44515555555555558;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
     33;                  1;0,00300000000000000;0,00100000000000000            ;0,50136666666666674            ;0,49863333333333332;30,25366166051147943;30,25366166051147943;34.369.224,23799405992031097;0,30097975002079547;13,00000000000000000;444,61538461538464162;0,00143233350791035
     34;                  0;0,00000000000000000;0,00000000000000000            ;0,51014444444444451            ;0,48985555555555554;0,00000000000000000;0,00000000000000000;100.000,00000000000000000;0,29999999999999999;0,00000000000000000;0,00000000000000000;0,00000000000000000
