Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:06 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.24;              1;       1e-08;       1e-08;    4;         3;       0.24;        0
   1;     0.76;              1;       1e-08;       1e-08;    2;         0;       0.76;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     33;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.14095485;   3.14095485;196690.42033183;   0.06294093;  17.00000000; 144.11764706;   0.05412367
     34;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.01019568;   3.01019568;199272.00042175;   0.06376704;  17.00000000; 144.82352941;   0.05647473
     35;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.04463212;   3.04463212;198477.08644556;   0.06351267;  17.00000000; 143.88235294;   0.05583597
     36;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   2.64514314;   2.64514314;223218.97681580;   0.07143007;  19.00000000; 141.68421053;   0.07182976
     37;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.65991115;   3.65991115;186791.23996098;   0.05977320;  16.00000000; 149.43750000;   0.04371691
     38;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.87425181;   3.87425181;166052.42820759;   0.05313678;  14.00000000; 153.21428571;   0.03613601
     39;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.10988216;   3.10988216;214527.07886449;   0.06864866;  18.00000000; 145.05555556;   0.05788001
     40;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.39140594;   3.39140594;189846.50847696;   0.06075088;  16.00000000; 148.31250000;   0.04717807
     41;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.12978644;   4.12978644;154168.61392897;   0.04933396;  13.00000000; 153.84615385;   0.03147863
     42;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.51560213;   3.51560213;163638.04704071;   0.05236417;  14.00000000; 145.21428571;   0.03982248
     43;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.88958593;   3.88958593;153063.15958818;   0.04898021;  13.00000000; 146.15384615;   0.03342258
     44;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.55405973;   3.55405973;160473.21948800;   0.05135143;  14.00000000; 142.42857143;   0.03939157
     45;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.75092333;   3.75092333;165312.61698020;   0.05290004;  14.00000000; 147.85714286;   0.03732414
     46;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.82669869;   3.82669869;152182.75312403;   0.04869848;  13.00000000; 147.07692308;   0.03397184
     47;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.08368345;   4.08368345;167581.41016186;   0.05362605;  14.00000000; 150.07142857;   0.03428277
     48;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.79837705;   3.79837705;151725.74570450;   0.04855224;  13.00000000; 151.38461538;   0.03422514
     49;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   2.82993018;   2.82993018;223303.81029472;   0.07145722;  19.00000000; 144.57894737;   0.06713947
     50;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.43278438;   3.43278438;187900.13768928;   0.06012804;  16.00000000; 145.43750000;   0.04660939
     51;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.66330132;   3.66330132;164472.88850920;   0.05263132;  14.00000000; 153.21428571;   0.03821689
     52;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.67205669;   3.67205669;165943.80119259;   0.05310202;  14.00000000; 148.57142857;   0.03812577
     53;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.55061744;   3.55061744;164741.50384801;   0.05271728;  14.00000000; 141.21428571;   0.03942976
     54;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   2.87449622;   2.87449622;196692.91173249;   0.06294173;  17.00000000; 139.29411765;   0.05914080
     55;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.03792333;   3.03792333;198444.50979357;   0.06350224;  17.00000000; 144.88235294;   0.05595928
     56;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.38556061;   3.38556061;163284.20216897;   0.05225094;  14.00000000; 147.50000000;   0.04135209
     57;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.69142938;   3.69142938;177211.02236442;   0.05670753;  15.00000000; 154.53333333;   0.04063467
     58;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.72048986;   3.72048986;167084.86033504;   0.05346715;  14.00000000; 147.42857143;   0.03762945
     59;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.27255519;   3.27255519;189714.47595428;   0.06070863;  16.00000000; 146.81250000;   0.04889146
     60;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   4.68501821;   4.68501821;155714.17317961;   0.04982853;  13.00000000; 153.07692308;   0.02774802
