Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:03:59 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.33;              1;       1e-08;       1e-08;    4;         3;       0.33;        0
   1;     0.67;              1;       1e-08;       1e-08;    2;         0;       0.67;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     33;                  1;0.02700000;     0.01100000            ;1.00000000            ;0.00000000;  12.29871514;  12.29871514;1199634.55608387;   0.01919415;  24.00000000; 959.75000000;   0.00390285
     34;                  1;0.02800000;     0.01000000            ;1.00000000            ;0.00000000;  11.77128003;  11.77128003;1260634.51153540;   0.02017015;  25.00000000; 943.28000000;   0.00424763
     35;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.77150648;  12.77150648;1090513.60110666;   0.01744822;  22.00000000; 932.09090909;   0.00344517
     36;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  12.91620365;  12.91620365;1094571.96902956;   0.01751315;  22.00000000; 939.09090909;   0.00340657
     37;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.51230381;  11.51230381;1300644.84928105;   0.02081032;  26.00000000; 959.07692308;   0.00451691
     38;                  1;0.02400000;     0.01000000            ;1.00000000            ;0.00000000;  10.36302561;  10.36302561;1473820.06676171;   0.02358112;  29.00000000; 935.62068966;   0.00559682
     39;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.15284464;  12.15284464;1261195.32532853;   0.02017912;  25.00000000; 966.56000000;   0.00411426
     40;                  1;0.02400000;     0.01000000            ;1.00000000            ;0.00000000;  10.51030739;  10.51030739;1412885.91360128;   0.02260617;  28.00000000; 940.50000000;   0.00532810
     41;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.81571317;  11.81571317;1250077.32867229;   0.02000124;  25.00000000; 942.08000000;   0.00423165
     42;                  1;0.02500000;     0.00800000            ;1.00000000            ;0.00000000;  10.94343274;  10.94343274;1351938.12417310;   0.02163101;  27.00000000; 945.74074074;   0.00493447
     43;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.70118544;  12.70118544;1208881.12274187;   0.01934210;  24.00000000; 984.54166667;   0.00377917
     44;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  10.91393056;  10.91393056;1405249.66241735;   0.02248399;  28.00000000; 967.32142857;   0.00513106
     45;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.10671692;  12.10671692;1253294.12685898;   0.02005271;  25.00000000; 973.72000000;   0.00412994
     46;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  13.23506510;  13.23506510;1089772.58001544;   0.01743636;  22.00000000; 970.50000000;   0.00332450
     47;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;   9.91890897;   9.91890897;1490599.69670572;   0.02384959;  30.00000000; 948.60000000;   0.00604905
     48;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  10.96066461;  10.96066461;1346225.49194833;   0.02153961;  27.00000000; 943.33333333;   0.00492671
     49;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  10.99616546;  10.99616546;1357815.26501019;   0.02172504;  27.00000000; 949.62962963;   0.00491080
     50;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.85784833;  12.85784833;1150796.93879625;   0.01841275;  23.00000000; 959.21739130;   0.00357758
     51;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  11.35050951;  11.35050951;1348515.61500453;   0.02157625;  27.00000000; 964.03703704;   0.00475750
     52;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.89040837;  11.89040837;1306923.27156556;   0.02091077;  26.00000000; 973.84615385;   0.00437327
     53;                  1;0.02500000;     0.00800000            ;1.00000000            ;0.00000000;  11.80084266;  11.80084266;1293027.35746634;   0.02068844;  26.00000000; 993.15384615;   0.00440646
     54;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.66549864;  11.66549864;1312953.18719485;   0.02100725;  26.00000000; 956.92307692;   0.00445759
     55;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  13.78716968;  13.78716968;1093955.07922904;   0.01750328;  22.00000000; 987.18181818;   0.00319137
     56;                  1;0.02200000;     0.01000000            ;1.00000000            ;0.00000000;  13.93171678;  13.93171678;1099443.43034149;   0.01759109;  22.00000000; 993.68181818;   0.00315826
     57;                  1;0.02000000;     0.00900000            ;1.00000000            ;0.00000000;  16.15954184;  16.15954184;942063.02599534;   0.01507301;  19.00000000;1009.57894737;   0.00235155
     58;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.03860188;  11.03860188;1348767.66645556;   0.02158028;  27.00000000; 958.66666667;   0.00489192
     59;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.68181448;  11.68181448;1249873.73002528;   0.01999798;  25.00000000; 954.72000000;   0.00428016
     60;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  12.77971582;  12.77971582;1194203.98042520;   0.01910726;  24.00000000; 985.87500000;   0.00375595
     61;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  10.85611805;  10.85611805;1347614.95833142;   0.02156184;  27.00000000; 932.11111111;   0.00497415
     62;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  14.71506231;  14.71506231;987811.30256912;   0.01580498;  20.00000000; 980.45000000;   0.00271830
     63;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  10.99148222;  10.99148222;1352699.86751530;   0.02164320;  27.00000000; 966.88888889;   0.00491290
     64;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  12.42670814;  12.42670814;1207892.36593529;   0.01932628;  24.00000000; 965.50000000;   0.00386265
     65;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.87013001;  11.87013001;1249488.35515718;   0.01999181;  25.00000000; 975.04000000;   0.00421225
     66;                  1;0.01900000;     0.00900000            ;1.00000000            ;0.00000000;  15.38418759;  15.38418759;972530.53936140;   0.01556049;  20.00000000;1049.20000000;   0.00260007
     67;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.25321957;  12.25321957;1228926.98224705;   0.01966283;  25.00000000; 993.88000000;   0.00408056
     68;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  14.31671421;  14.31671421;1049278.42968732;   0.01678845;  21.00000000; 978.61904762;   0.00293363
     69;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.71658985;  11.71658985;1306346.38334658;   0.02090154;  26.00000000; 960.76923077;   0.00443815
     70;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  12.04513255;  12.04513255;1244249.15998091;   0.01990799;  25.00000000; 967.96000000;   0.00415105
     71;                  1;0.02200000;     0.01000000            ;1.00000000            ;0.00000000;  12.80288061;  12.80288061;1205463.58912632;   0.01928742;  24.00000000; 995.20833333;   0.00374916
     72;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  13.64855065;  13.64855065;1088252.39694084;   0.01741204;  22.00000000; 981.68181818;   0.00322379
     73;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  14.25050441;  14.25050441;993901.77141784;   0.01590243;  20.00000000; 954.15000000;   0.00280692
     74;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.46236736;  11.46236736;1317439.35467067;   0.02107903;  26.00000000; 931.50000000;   0.00453658
     75;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.14963947;  12.14963947;1255428.25912150;   0.02008685;  25.00000000; 997.12000000;   0.00411535
     76;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  12.57991619;  12.57991619;1215369.89028674;   0.01944592;  24.00000000; 975.66666667;   0.00381561
     77;                  1;0.02400000;     0.01000000            ;1.00000000            ;0.00000000;  11.02325753;  11.02325753;1348468.13437271;   0.02157549;  27.00000000; 957.22222222;   0.00489873
     78;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  10.90712695;  10.90712695;1337262.17489810;   0.02139619;  27.00000000; 952.03703704;   0.00495089
     79;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.95283025;  11.95283025;1202070.40616259;   0.01923313;  24.00000000; 940.25000000;   0.00401579
     80;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.70700399;  12.70700399;1196244.96900045;   0.01913992;  24.00000000; 992.12500000;   0.00377744
     81;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  10.81933477;  10.81933477;1358705.27784331;   0.02173928;  27.00000000; 931.11111111;   0.00499106
     82;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  11.52046889;  11.52046889;1368069.94766713;   0.02188912;  27.00000000; 983.03703704;   0.00468731
     83;                  1;0.01900000;     0.00800000            ;1.00000000            ;0.00000000;  14.40102984;  14.40102984;1078629.17622832;   0.01725807;  22.00000000;1028.95454545;   0.00305534
     84;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.04257610;  11.04257610;1359550.63366051;   0.02175281;  27.00000000; 948.55555556;   0.00489016
     85;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  12.75903265;  12.75903265;1136450.22640332;   0.01818320;  23.00000000; 957.60869565;   0.00360529
     86;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  12.36730986;  12.36730986;1181120.35460956;   0.01889793;  24.00000000; 974.50000000;   0.00388120
     87;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.27585065;  12.27585065;1191034.61151008;   0.01905655;  24.00000000; 969.62500000;   0.00391012
     88;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.70473549;  11.70473549;1300093.16217007;   0.02080149;  26.00000000; 975.53846154;   0.00444265
     89;                  1;0.02200000;     0.01100000            ;1.00000000            ;0.00000000;  12.17810192;  12.17810192;1249767.62923810;   0.01999628;  25.00000000; 976.04000000;   0.00410573
     90;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  13.76209295;  13.76209295;1098346.94970100;   0.01757355;  22.00000000;1006.50000000;   0.00319719
     91;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  13.53122498;  13.53122498;1146238.08022312;   0.01833981;  23.00000000; 992.08695652;   0.00339954
     92;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  13.08525831;  13.08525831;1151804.54779999;   0.01842887;  23.00000000; 948.43478261;   0.00351541
     93;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.51824677;  11.51824677;1309282.92500683;   0.02094853;  26.00000000; 946.34615385;   0.00451458
     94;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  11.77183855;  11.77183855;1196680.06521610;   0.01914688;  24.00000000; 918.45833333;   0.00407753
     95;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  13.26779762;  13.26779762;1087477.32061329;   0.01739964;  22.00000000; 980.86363636;   0.00331630
     96;                  1;0.02300000;     0.01000000            ;1.00000000            ;0.00000000;  11.67086136;  11.67086136;1364236.36037179;   0.02182778;  27.00000000; 997.03703704;   0.00462691
     97;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  11.63491173;  11.63491173;1296170.93441784;   0.02073873;  26.00000000; 988.69230769;   0.00446931
     98;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  11.89491892;  11.89491892;1241987.10054788;   0.01987179;  25.00000000; 949.84000000;   0.00420348
     99;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  14.52108217;  14.52108217;1060188.35331931;   0.01696301;  21.00000000; 972.47619048;   0.00289235
    100;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  12.12551964;  12.12551964;1203932.97477794;   0.01926293;  24.00000000; 933.91666667;   0.00395859
    101;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  14.16045388;  14.16045388;1054530.62979106;   0.01687249;  21.00000000; 978.52380952;   0.00296601
    102;                  1;0.02600000;     0.00900000            ;1.00000000            ;0.00000000;  11.42946771;  11.42946771;1296726.28249125;   0.02074762;  26.00000000; 950.03846154;   0.00454964
    103;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.92479431;  11.92479431;1305050.87842931;   0.02088081;  26.00000000; 989.30769231;   0.00436066
    104;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.26581116;  12.26581116;1302171.51902963;   0.02083474;  26.00000000;1017.11538462;   0.00423943
    105;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.75796499;  11.75796499;1295446.21660120;   0.02072714;  26.00000000; 973.00000000;   0.00442253
    106;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  11.84778361;  11.84778361;1207740.24757705;   0.01932384;  24.00000000; 919.41666667;   0.00405139
    107;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  12.10476513;  12.10476513;1248106.57623529;   0.01996970;  25.00000000; 987.20000000;   0.00413060
    108;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.59119387;  12.59119387;1250575.76385328;   0.02000921;  25.00000000;1020.52000000;   0.00397103
    109;                  1;0.02500000;     0.01100000            ;1.00000000            ;0.00000000;  11.60984626;  11.60984626;1246754.89714488;   0.01994808;  25.00000000; 942.48000000;   0.00430669
    110;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  12.00533289;  12.00533289;1248158.96536571;   0.01997054;  25.00000000; 969.04000000;   0.00416482
    111;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  12.99002441;  12.99002441;1159229.31347012;   0.01854767;  23.00000000; 975.04347826;   0.00354118
    112;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.92572623;  11.92572623;1300360.47976237;   0.02080577;  26.00000000; 984.15384615;   0.00436032
    113;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  12.82879967;  12.82879967;1151058.96815929;   0.01841694;  23.00000000; 956.91304348;   0.00358568
    114;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.87158766;  11.87158766;1242462.92967789;   0.01987941;  25.00000000; 961.60000000;   0.00421174
    115;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  11.82969077;  11.82969077;1313120.81410728;   0.02100993;  26.00000000; 968.38461538;   0.00439572
    116;                  1;0.02000000;     0.00900000            ;1.00000000            ;0.00000000;  13.01796113;  13.01796113;1205639.40597027;   0.01929023;  24.00000000; 988.87500000;   0.00368721
    117;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.62129753;  12.62129753;1211709.68139577;   0.01938735;  24.00000000; 971.62500000;   0.00380310
    118;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  11.96312057;  11.96312057;1230064.54850511;   0.01968103;  25.00000000; 999.36000000;   0.00417951
